Club,School Details,Count,Count.1
Ormond Jets Basketball Club,"Albert Park College, Albert Park VIC 3206",9,1
Bayside Warriors Basketball Club Inc,"St Kilda Primary School, St Kilda VIC 3182",26,7
Brighton Wolves Basketball Club,"McKinnon Secondary College - East Campus, Bentleigh East VIC 3165",260,8
Bentleigh Lakers Basketball Club,"Caulfield Grammar School - Malvern Campus, Glen Iris VIC 3146",13,1
St Kilda Warriors Basketball Club,"St Joseph's School, Elsternwick VIC 3185",80,5
Bentleigh Lakers Basketball Club,"St Leonard's College, Brighton East VIC 3187",98,14
ABA Wolverines Basketball Club,"Xavier College - Burke Hall, Kew VIC 3101",2,1
Carnegie Basketball Club,"Caulfield Primary School, Caulfield South VIC 3162",24,5
Independent,"St Bede's College, Mentone VIC 3194",36,1
Saints Basketball Club (McKinnon),"Kilvington Grammar School, Ormond VIC 3204",115,9
Ormond Jets Basketball Club,"Mentone Grammar School, Mentone VIC 3194",41,2
ABA Wolverines Basketball Club,"Coatesville Primary School, Bentleigh East VIC 3165",189,6
East Brighton Vampires Basketball Club,"Valkstone Primary School, Bentleigh East VIC 3165",139,1
Moorabbin Magic Basketball Club,"Hughesdale Primary School, Hughesdale VIC 3166",121,1
Brighton Wolves Basketball Club,"Stella Maris School, Beaumaris VIC 3193",2,1
Moorabbin Magic Basketball Club,"Salesian College Chadstone, Chadstone VIC 3148",63,2
Independent,"St Michael's Grammar School, St Kilda VIC 3182",33,1
Bentleigh Lakers Basketball Club,"Cheltenham East Primary School, Cheltenham VIC 3192",5,2
Piranhas Basketball,"Brighton Grammar School, Brighton VIC 3186",236,1
Independent,"Emmaus College, Vermont South VIC 3133",1,1
Oakleigh Raptors Basketball Club,"Mazenod College, Mulgrave VIC 3170",11,7
Moorabbin Magic Basketball Club,"Home School,   ",6,1
St Kilda Warriors Basketball Club,"Haileybury College - City Boys, West Melbourne VIC 3006",1,1
Brighton Wolves Basketball Club,"Melbourne Grammar School - Grimwade Campus, Caulfield North VIC 3161",8,6
Bentleigh Lakers Basketball Club,"Carnegie Primary School, Carnegie VIC 3163",160,5
South East Warriors Basketball Club,"Southmoor Primary School, Moorabbin VIC 3189",55,12
South East Warriors Basketball Club,"St Finbar's School, Brighton East VIC 3187",159,1
Brighton Wolves Basketball Club,"Scotch College, Hawthorn VIC 3122",12,1
East Brighton Vampires Basketball Club,"St Kevin's College, Toorak VIC 3142",42,7
Moorabbin Tigers Basketball Club,"Haileybury College - Brighton Boys, Brighton VIC 3186",151,1
Independent,"Wesley College - Elsternwick Campus, Elsternwick VIC 3185",47,20
Moorabbin Magic Basketball Club,"Mckinnon Secondary College, Mckinnon VIC 3204",206,11
Ormond Jets Basketball Club,"Melbourne Grammar School, Melbourne VIC 3004",6,1
Brighton Wolves Basketball Club,"Melbourne Grammar School - Wadhurst Campus, Melbourne VIC 3004",6,5
Bentleigh Lakers Basketball Club,"Southmoor Primary School, Moorabbin VIC 3189",55,8
Saints Basketball Club (McKinnon),"Mckinnon Secondary College, Mckinnon VIC 3204",206,11
Brighton Wolves Basketball Club,"Bialik College, Hawthorn VIC 3122",76,1
Independent,"Caulfield Grammar School, St Kilda East VIC 3183",99,9
Bentleigh Lakers Basketball Club,"St Patrick's School, Mentone VIC 3194",10,2
ABA Wolverines Basketball Club,"Hartwell Primary School, Camberwell VIC 3124",1,1
Brighton Wolves Basketball Club,"Mckinnon Secondary College, Mckinnon VIC 3204",206,4
South East Warriors Basketball Club,"Coatesville Primary School, Bentleigh East VIC 3165",189,7
Carnegie Basketball Club,"Mentone Grammar School, Mentone VIC 3194",41,7
Bentleigh Lakers Basketball Club,"South Melbourne Park Primary School, Albert Park VIC 3206",2,1
Bentleigh Lakers Basketball Club,"Nunawading Christian College - Primary, Nunawading VIC 3131",1,1
Oakleigh Raptors Basketball Club,"Mckinnon Secondary College, Mckinnon VIC 3204",206,9
Oakleigh Raptors Basketball Club,"Amsleigh Park Primary School, Oakleigh East VIC 3166",12,12
Bentleigh Lakers Basketball Club,"Oakleigh Grammar, Oakleigh VIC 3166",29,6
Ormond Jets Basketball Club,"Bentleigh Secondary College, Bentleigh East VIC 3165",160,3
Bentleigh Lakers Basketball Club,"Home School,   ",6,2
South East Warriors Basketball Club,"Moorabbin Primary School, Moorabbin VIC 3189",29,4
East Brighton Vampires Basketball Club,"Beaumaris Primary School, Beaumaris VIC 3193",8,2
East Brighton Vampires Basketball Club,"Not Applicable,   ",22,1
Brighton Wolves Basketball Club,"St James School, Nar Nar Goon VIC 3812",1,1
Ormond Jets Basketball Club,"Mentone Girls Secondary College, Mentone VIC 3194",11,2
Ormond Jets Basketball Club,"St Mary’s College Melbourne - Edmund Rice Campus, St Kilda East VIC 3183",4,3
Ormond Jets Basketball Club,"St Mary's School - Campus 2, St Kilda East VIC 3183",5,1
Carnegie Basketball Club,"Glen Huntly Primary School, Glen Huntly VIC 3163",20,11
Carnegie Basketball Club,"De La Salle College - Holy Eucharist Campus, Malvern East VIC 3145",35,11
Brighton Wolves Basketball Club,"Moorabbin Primary School, Moorabbin VIC 3189",29,1
Maccabi Victoria Basketball Club,"Mount Scopus Memorial College - Fink Karp Ivany Campus, Caulfield South VIC 3162",5,4
Ormond Jets Basketball Club,"Brighton Grammar School, Brighton VIC 3186",236,15
Independent,"Malvern Primary School, Malvern East VIC 3145",8,7
Moorabbin Magic Basketball Club,"Cheltenham Secondary College, Cheltenham VIC 3192",33,2
Oakleigh Raptors Basketball Club,"De La Salle College, Malvern VIC 3144",54,2
Independent,"De La Salle College, Malvern VIC 3144",54,1
Brighton Wolves Basketball Club,"University High School, Parkville VIC 3052",1,1
Brighton Wolves Basketball Club,"Home School,   ",6,2
Brighton Wolves Basketball Club,"Galilee Regional Catholic Primary School, South Melbourne VIC 3205",10,1
Bentleigh Lakers Basketball Club,"Kilbreda College, Mentone VIC 3194",12,3
ABA Wolverines Basketball Club,"McKinnon Secondary College - East Campus, Bentleigh East VIC 3165",260,7
Brighton Wolves Basketball Club,"John Monash Science School, Clayton VIC 3168",5,1
Brighton Wolves Basketball Club,"Melbourne Grammar School, Melbourne VIC 3004",6,4
Saints Basketball Club (McKinnon),"St Mary's School, Hampton VIC 3188",8,2
Moorabbin Magic Basketball Club,"Our Lady of the Sacred Heart College, Bentleigh VIC 3204",66,6
Oakleigh Raptors Basketball Club,"Mentone Girls Secondary College, Mentone VIC 3194",11,1
Ormond Jets Basketball Club,"Oakleigh South Primary School, Oakleigh South VIC 3167",134,4
Bentleigh Lakers Basketball Club,"Ripponlea Primary School, St Kilda East VIC 3183",25,2
Bentleigh Lakers Basketball Club,"Sandringham East Primary School, Sandringham VIC 3191",2,2
Ormond Jets Basketball Club,"Brighton Primary School, Brighton VIC 3186",101,1
Saints Basketball Club (McKinnon),"St Kilda Primary School, St Kilda VIC 3182",26,5
Bayside Warriors Basketball Club Inc,"Albert Park College, Albert Park VIC 3206",9,2
Independent,"Wesley College, Melbourne VIC 3004",16,3
Carnegie Basketball Club,"St Kevin's College - Glendalough, Toorak VIC 3142",14,2
Ormond Jets Basketball Club,"Wesley College, Melbourne VIC 3004",16,1
Ormond Jets Basketball Club,"Wesley College - Elsternwick Campus, Elsternwick VIC 3185",47,9
Bentleigh Lakers Basketball Club,"Moorabbin Primary School, Moorabbin VIC 3189",29,7
East Brighton Vampires Basketball Club,"Our Lady of the Sacred Heart College, Bentleigh VIC 3204",66,2
Bentleigh Lakers Basketball Club,"Firbank Grammar School - Second Campus, Brighton VIC 3186",8,1
Bentleigh Lakers Basketball Club,"Firbank Grammar School, Brighton VIC 3186",32,3
Bentleigh Lakers Basketball Club,"Wilandra Rise Primary School, Clyde North VIC 3978",1,1
Bentleigh Lakers Basketball Club,"Mentone Girls' Grammar School, Mentone VIC 3194",3,2
Bentleigh Lakers Basketball Club,"St Catherine's School, Moorabbin VIC 3189",20,2
Piranhas Basketball,"St Kevin's College - Glendalough, Toorak VIC 3142",14,4
Brighton Wolves Basketball Club,"St Mary's School, Hampton VIC 3188",8,4
Carnegie Basketball Club,"Brighton Grammar School, Brighton VIC 3186",236,7
Carnegie Basketball Club,"Our Lady of the Sacred Heart College, Bentleigh VIC 3204",66,4
Moorabbin Magic Basketball Club,"De La Salle College - Holy Eucharist Campus, Malvern East VIC 3145",35,2
Oakleigh Raptors Basketball Club,"Melbourne High School, South Yarra VIC 3141",7,3
Carnegie Basketball Club,"St Leonard's College, Brighton East VIC 3187",98,1
ABA Wolverines Basketball Club,"Brighton Beach Primary School, Brighton VIC 3186",49,2
South East Warriors Basketball Club,"Brighton Grammar School, Brighton VIC 3186",236,3
Bentleigh Lakers Basketball Club,"Mazenod College, Mulgrave VIC 3170",11,4
Oakleigh Raptors Basketball Club,"Brandon Park Primary School, Wheelers Hill VIC 3150",1,1
Bentleigh Lakers Basketball Club,"Glen Huntly Primary School, Glen Huntly VIC 3163",20,1
Saints Basketball Club (McKinnon),"Bentleigh West Primary School, Bentleigh VIC 3204",155,5
Saints Basketball Club (McKinnon),"Haileybury College - Brighton Boys, Brighton VIC 3186",151,4
Bentleigh Lakers Basketball Club,"John Monash Science School, Clayton VIC 3168",5,2
Maccabi Victoria Basketball Club,"Korowa Anglican Girls' School, Glen Iris VIC 3146",2,1
Saints Basketball Club (McKinnon),"St Kevin's College, Toorak VIC 3142",42,3
Oakleigh Raptors Basketball Club,"Parkdale Secondary College, Mordialloc VIC 3195",6,1
Moorabbin Magic Basketball Club,"Carrum Primary School, Carrum VIC 3197",1,1
Ormond Jets Basketball Club,"Haileybury College - Brighton Girls, Brighton VIC 3186",51,3
Bentleigh Lakers Basketball Club,"Heathdale Christian College, Werribee VIC 3030",2,2
East Brighton Vampires Basketball Club,"Bentleigh West Primary School, Bentleigh VIC 3204",155,9
Piranhas Basketball,"Caulfield Grammar School - Malvern Campus, Glen Iris VIC 3146",13,1
Saints Basketball Club (McKinnon),"Mentone Girls Secondary College, Mentone VIC 3194",11,4
Moorabbin Magic Basketball Club,"Mordialloc College, Mordialloc VIC 3195",4,1
St Kilda Warriors Basketball Club,"St Mary's School - Campus 2, St Kilda East VIC 3183",5,2
Carnegie Basketball Club,"Oakleigh Grammar, Oakleigh VIC 3166",29,5
South East Warriors Basketball Club,"Mckinnon Primary School, Ormond VIC 3204",105,6
Carnegie Basketball Club,"St Paul's School, Bentleigh VIC 3204",157,1
Ormond Jets Basketball Club,"St Andrew's School, Clayton South VIC 3169",27,1
Ormond Jets Basketball Club,"Sacred Heart School, Oakleigh VIC 3166",42,3
Saints Basketball Club (McKinnon),"Loreto Mandeville Hall, Toorak VIC 3142",9,2
Carnegie Basketball Club,"Oakleigh South Primary School, Oakleigh South VIC 3167",134,2
Bentleigh Lakers Basketball Club,"Albert Park College, Albert Park VIC 3206",9,1
St Kilda Warriors Basketball Club,N/A,2176,7
St Kilda Warriors Basketball Club,"Middle Park Primary School, Middle Park VIC 3206",4,2
Bentleigh Lakers Basketball Club,"St Anthony's School, Glen Huntly VIC 3163",5,1
Carnegie Basketball Club,"St Anthony's School, Glen Huntly VIC 3163",5,3
Ormond Jets Basketball Club,"Firbank Grammar School - Second Campus, Brighton VIC 3186",8,1
St Kilda Warriors Basketball Club,"St Anthony's School, Glen Huntly VIC 3163",5,1
Independent,"Bentleigh Secondary College, Bentleigh East VIC 3165",160,1
Brighton Wolves Basketball Club,"St Bede's College, Mentone VIC 3194",36,4
Saints Basketball Club (McKinnon),"Sacred Heart School, Oakleigh VIC 3166",42,3
Saints Basketball Club (McKinnon),"Glen Huntly Primary School, Glen Huntly VIC 3163",20,5
Independent,"Star of the Sea College, Brighton VIC 3186",96,8
Bentleigh Lakers Basketball Club,"Ormond Primary School, Ormond VIC 3204",37,11
Brighton Wolves Basketball Club,"St Kevin's College - Glendalough, Toorak VIC 3142",14,3
South East Warriors Basketball Club,"Bentleigh West Primary School, Bentleigh VIC 3204",155,5
Independent,"South Oakleigh College, Oakleigh South VIC 3167",61,7
Ormond Jets Basketball Club,"St James' School, Brighton VIC 3186",20,3
Ormond Jets Basketball Club,"Caulfield Grammar School - Malvern Campus, Glen Iris VIC 3146",13,4
Saints Basketball Club (McKinnon),"Caulfield Junior College, Caulfield North VIC 3161",41,2
Carnegie Basketball Club,"St Joseph's School, Elsternwick VIC 3185",80,2
St Kilda Warriors Basketball Club,"Elwood Primary School, Elwood VIC 3184",14,1
Oakleigh Raptors Basketball Club,"Ashwood High School, Ashwood VIC 3147",13,9
St Kilda Warriors Basketball Club,"Elwood College, Elwood VIC 3184",37,4
Oakleigh Raptors Basketball Club,"Coatesville Primary School, Bentleigh East VIC 3165",189,1
Piranhas Basketball,"Scotch College, Hawthorn VIC 3122",12,3
Saints Basketball Club (McKinnon),"Mckinnon Primary School, Ormond VIC 3204",105,3
Ormond Jets Basketball Club,"Loreto Mandeville Hall, Toorak VIC 3142",9,2
Ormond Jets Basketball Club,"St Bede's College - Bentleigh East Campus, Bentleigh East VIC 3165",72,3
Oakleigh Raptors Basketball Club,"St Bede's College - Bentleigh East Campus, Bentleigh East VIC 3165",72,1
Saints Basketball Club (McKinnon),"Bentleigh Secondary College, Bentleigh East VIC 3165",160,5
Brighton Wolves Basketball Club,"Firbank Grammar School - Second Campus, Brighton VIC 3186",8,6
Saints Basketball Club (McKinnon),"Sacred Heart School, Sandringham VIC 3191",6,1
Bentleigh Lakers Basketball Club,"Hughes Primary School, Hughes ACT 2605",2,2
Independent,"Mount Scopus Memorial College, Burwood VIC 3125",122,18
St Kilda Warriors Basketball Club,"Caulfield Junior College, Caulfield North VIC 3161",41,1
Ormond Jets Basketball Club,"Sholem Aleichem College - Senior Campus, Elsternwick VIC 3185",2,1
Oakleigh Raptors Basketball Club,"Caulfield Grammar School, St Kilda East VIC 3183",99,1
ABA Wolverines Basketball Club,"St Leonard's College, Brighton East VIC 3187",98,5
Bentleigh Lakers Basketball Club,"Mordialloc College, Mordialloc VIC 3195",4,1
Carnegie Basketball Club,"Sacre Coeur, Glen Iris VIC 3146",9,2
East Brighton Vampires Basketball Club,"Mentone Grammar School, Mentone VIC 3194",41,1
Brighton Wolves Basketball Club,"Beaumaris Primary School, Beaumaris VIC 3193",8,3
South East Warriors Basketball Club,"Kilbreda College, Mentone VIC 3194",12,1
South East Warriors Basketball Club,"Mckinnon Secondary College, Mckinnon VIC 3204",206,5
Oakleigh Raptors Basketball Club,"Mckinnon Primary School, Ormond VIC 3204",105,2
Brighton Wolves Basketball Club,"Ripponlea Primary School, St Kilda East VIC 3183",25,2
Saints Basketball Club (McKinnon),"Coatesville Primary School, Bentleigh East VIC 3165",189,8
Independent,"Sacred Heart Girls' College, Oakleigh VIC 3166",19,1
ABA Wolverines Basketball Club,"Valkstone Primary School, Bentleigh East VIC 3165",139,6
Carnegie Basketball Club,"Haileybury College - Keysborough Boys, Keysborough VIC 3173",23,2
Ormond Jets Basketball Club,"St Mary's School, Hampton VIC 3188",8,2
East Brighton Vampires Basketball Club,"Elsternwick Primary School, Brighton VIC 3186",59,2
Brighton Wolves Basketball Club,"Bentleigh West Primary School, Bentleigh VIC 3204",155,9
St Kilda Warriors Basketball Club,"Wesley College, Melbourne VIC 3004",16,3
East Brighton Vampires Basketball Club,"Mckinnon Secondary College, Mckinnon VIC 3204",206,1
Saints Basketball Club (McKinnon),"Not Applicable,   ",22,3
ABA Wolverines Basketball Club,"Bentleigh Secondary College, Bentleigh East VIC 3165",160,3
Moorabbin Magic Basketball Club,"Kilvington Grammar School, Ormond VIC 3204",115,3
Independent,"Kilvington Grammar School, Ormond VIC 3204",115,9
Moorabbin Tigers Basketball Club,"Mckinnon Primary School, Ormond VIC 3204",105,2
Ormond Jets Basketball Club,"St Mary's School, St Kilda East VIC 3183",9,2
Bentleigh Lakers Basketball Club,"St Peter's School, Bentleigh East VIC 3165",167,21
Bentleigh Lakers Basketball Club,"Elwood Primary School, Elwood VIC 3184",14,1
Independent,"St Leonard's College, Brighton East VIC 3187",98,5
Brighton Wolves Basketball Club,"Cheltenham East Primary School, Cheltenham VIC 3192",5,1
Brighton Wolves Basketball Club,"Glen Eira College, Caulfield East VIC 3145",74,3
ABA Wolverines Basketball Club,"Lauriston Girls' School, Armadale VIC 3143",2,1
Brighton Wolves Basketball Club,"St Mary’s College Melbourne - Edmund Rice Campus, St Kilda East VIC 3183",4,1
Oakleigh Raptors Basketball Club,"Clarinda Primary School, Clarinda VIC 3169",6,6
South East Warriors Basketball Club,"Wesley College - Elsternwick Campus, Elsternwick VIC 3185",47,2
Oakleigh Raptors Basketball Club,"Cheltenham Secondary College, Cheltenham VIC 3192",33,9
Independent,"Bialik College, Hawthorn VIC 3122",76,1
Bentleigh Lakers Basketball Club,"Scotch College, Hawthorn VIC 3122",12,2
Ormond Jets Basketball Club,"St Patrick's School, Murrumbeena VIC 3163",49,2
Ormond Jets Basketball Club,"St Kevin's College - Waterford, Richmond VIC 3121",7,2
Saints Basketball Club (McKinnon),"Sacred Heart Girls' College, Oakleigh VIC 3166",19,2
Bentleigh Lakers Basketball Club,"Star of the Sea College, Brighton VIC 3186",96,6
East Brighton Vampires Basketball Club,"St James' School, Brighton VIC 3186",20,1
ABA Wolverines Basketball Club,"St James' School, Brighton VIC 3186",20,3
South East Warriors Basketball Club,"Bialik College, Hawthorn VIC 3122",76,4
Oakleigh Raptors Basketball Club,"Not Applicable,   ",22,1
Maccabi Victoria Basketball Club,"Cheder Levi Yitzchok Inc, South Yarra VIC 3182",1,1
Brighton Wolves Basketball Club,"Mount Scopus Memorial College, Burwood VIC 3125",122,2
Bentleigh Lakers Basketball Club,"Wesley College, Melbourne VIC 3004",16,3
Ormond Jets Basketball Club,"St Peter's School, Bentleigh East VIC 3165",167,5
Bentleigh Lakers Basketball Club,"Melbourne Montessori College - Brighton East Campus, Brighton East VIC 3187",12,4
Brighton Wolves Basketball Club,"De La Salle College - Kinnoull Campus, Malvern VIC 3144",24,3
Brighton Wolves Basketball Club,"De La Salle College - Holy Eucharist Campus, Malvern East VIC 3145",35,5
Brighton Wolves Basketball Club,"Christ Church Grammar School, South Yarra VIC 3141",1,1
Carnegie Basketball Club,"Brighton Primary School, Brighton VIC 3186",101,1
Moorabbin Magic Basketball Club,"Stella Maris School, Beaumaris VIC 3193",2,1
South East Warriors Basketball Club,"Le Page Primary School, Cheltenham VIC 3192",12,6
Carnegie Basketball Club,"St Kevin's College, Toorak VIC 3142",42,3
Ormond Jets Basketball Club,"St Kevin's College, Toorak VIC 3142",42,6
Oakleigh Raptors Basketball Club,"St Peter's School, Bentleigh East VIC 3165",167,3
Saints Basketball Club (McKinnon),"Valkstone Primary School, Bentleigh East VIC 3165",139,6
Carnegie Basketball Club,"Tucker Road Bentleigh Primary School, Bentleigh VIC 3204",105,2
Brighton Wolves Basketball Club,"Sacre Coeur, Glen Iris VIC 3146",9,1
South East Warriors Basketball Club,"Beaumaris Primary School, Beaumaris VIC 3193",8,1
South East Warriors Basketball Club,"Mentone Grammar School, Mentone VIC 3194",41,4
Saints Basketball Club (McKinnon),"Home School,   ",6,1
St Kilda Warriors Basketball Club,"Coatesville Primary School, Bentleigh East VIC 3165",189,1
South East Warriors Basketball Club,"Kilvington Grammar School, Ormond VIC 3204",115,1
Ormond Jets Basketball Club,"The King David School - Junior School, Armadale VIC 3143",12,9
ABA Wolverines Basketball Club,"Tucker Road Bentleigh Primary School, Bentleigh VIC 3204",105,4
ABA Wolverines Basketball Club,"South Oakleigh College, Oakleigh South VIC 3167",61,2
Ormond Jets Basketball Club,"Melbourne Montessori College - Caulfield South Campus, Caulfield South VIC 3162",7,2
Oakleigh Raptors Basketball Club,"St John Vianney's School, Mulgrave VIC 3170",1,1
Brighton Wolves Basketball Club,"Sandringham College-Bluff Road 7-9 Campus, Sandringham VIC 3191",4,2
Saints Basketball Club (McKinnon),"St Mary's School, St Kilda East VIC 3183",9,1
East Brighton Vampires Basketball Club,"Brighton Grammar School, Brighton VIC 3186",236,4
Oakleigh Raptors Basketball Club,"Mount Waverley Secondary College, Mount Waverley VIC 3149",4,4
Oakleigh Raptors Basketball Club,"Pinewood Primary School, Mount Waverley VIC 3149",3,2
Oakleigh Raptors Basketball Club,"Ruyton Girls' School, Kew VIC 3101",1,1
Moorabbin Magic Basketball Club,"St Leonard's College, Brighton East VIC 3187",98,7
Bentleigh Lakers Basketball Club,"St Andrew's School, Clayton South VIC 3169",27,2
St Kilda Warriors Basketball Club,"Galilee Regional Catholic Primary School, South Melbourne VIC 3205",10,6
Moorabbin Magic Basketball Club,"Firbank Grammar School, Brighton VIC 3186",32,2
Bentleigh Lakers Basketball Club,"Beaumaris Secondary College, Beaumaris VIC 3193",4,1
ABA Wolverines Basketball Club,"Oakleigh South Primary School, Oakleigh South VIC 3167",134,1
Brighton Wolves Basketball Club,"Wesley College - Elsternwick Campus, Elsternwick VIC 3185",47,6
South East Warriors Basketball Club,"Dingley Primary School, Dingley Village VIC 3172",4,2
Ormond Jets Basketball Club,"East Bentleigh Primary School, Bentleigh East VIC 3165",19,2
Ormond Jets Basketball Club,"Haileybury College - Brighton Boys, Brighton VIC 3186",151,5
Saints Basketball Club (McKinnon),"De La Salle College, Malvern VIC 3144",54,8
Bayside Warriors Basketball Club Inc,"Galilee Regional Catholic Primary School, South Melbourne VIC 3205",10,2
Carnegie Basketball Club,"Caulfield Grammar School, St Kilda East VIC 3183",99,3
Moorabbin Magic Basketball Club,"Valkstone Primary School, Bentleigh East VIC 3165",139,3
Brighton Wolves Basketball Club,"Haileybury College - Berwick Boys, Berwick VIC 3806",1,1
Moorabbin Magic Basketball Club,"Parkdale Secondary College, Mordialloc VIC 3195",6,1
Ormond Jets Basketball Club,"Westall Secondary College, Clayton South VIC 3169",5,1
Carnegie Basketball Club,"Hughesdale Primary School, Hughesdale VIC 3166",121,4
Maccabi Victoria Basketball Club,"Gardenvale Primary School, Brighton East VIC 3187",187,3
Saints Basketball Club (McKinnon),"St Andrew's School, Clayton South VIC 3169",27,1
Maccabi Victoria Basketball Club,"Wesley College, Melbourne VIC 3004",16,1
Oakleigh Raptors Basketball Club,"Bentleigh West Primary School, Bentleigh VIC 3204",155,1
Brighton Wolves Basketball Club,"Gardenvale Primary School, Brighton East VIC 3187",187,6
Carnegie Basketball Club,"Gardenvale Primary School, Brighton East VIC 3187",187,1
Bayside Warriors Basketball Club Inc,"Elwood College, Elwood VIC 3184",37,1
Oakleigh Raptors Basketball Club,"Huntingdale Primary School, Oakleigh South VIC 3167",8,6
St Kilda Warriors Basketball Club,"Brighton Grammar School, Brighton VIC 3186",236,1
Carnegie Basketball Club,"Auburn High School, Hawthorn East VIC 3123",2,2
Brighton Wolves Basketball Club,"Caulfield South Primary School, Caulfield South VIC 3162",114,2
Saints Basketball Club (McKinnon),"Caulfield South Primary School, Caulfield South VIC 3162",114,1
Saints Basketball Club (McKinnon),"De La Salle College - Holy Eucharist Campus, Malvern East VIC 3145",35,1
Moorabbin Magic Basketball Club,"De La Salle College - Kinnoull Campus, Malvern VIC 3144",24,2
Brighton Wolves Basketball Club,"St Paul's School, Bentleigh VIC 3204",157,2
Independent,"Leibler Yavneh College, Elsternwick VIC 3185",16,1
Moorabbin Magic Basketball Club,"Sandringham Primary School, Sandringham VIC 3191",3,1
Oakleigh Raptors Basketball Club,"Malvern Valley Primary School, Malvern East VIC 3145",1,1
Carnegie Basketball Club,"Not Applicable,   ",22,3
Brighton Wolves Basketball Club,"Bentleigh Secondary College, Bentleigh East VIC 3165",160,4
Saints Basketball Club (McKinnon),"Moorabbin Primary School, Moorabbin VIC 3189",29,2
Saints Basketball Club (McKinnon),"Toorak Primary School, Toorak VIC 3142",1,1
Moorabbin Magic Basketball Club,"St John Vianney's School, Parkdale VIC 3195",1,1
Oakleigh Raptors Basketball Club,"Avila College, Mount Waverley VIC 3149",1,1
Ormond Jets Basketball Club,"Leibler Yavneh College, Elsternwick VIC 3185",16,2
Brighton Wolves Basketball Club,"Wesley College, Melbourne VIC 3004",16,3
Moorabbin Magic Basketball Club,"South Oakleigh College, Oakleigh South VIC 3167",61,1
