Club,School Details,Count,Count.1
South East Warriors Basketball Club,"Mentone Girls Secondary College, Mentone VIC 3194",11,1
Brighton Wolves Basketball Club,"St James Catholic Primary School, Glebe NSW 2037",1,1
Carnegie Basketball Club,"Star of the Sea College, Brighton VIC 3186",96,1
ABA Wolverines Basketball Club,"The King David School - The Rebecca Magid Centre, Armadale VIC 3143",26,1
Independent,"John Monash Science School, Clayton VIC 3168",5,2
South East Warriors Basketball Club,"Loreto Mandeville Hall, Toorak VIC 3142",9,1
Carnegie Basketball Club,"St Joan of Arc School, Brighton VIC 3186",123,1
Bentleigh Lakers Basketball Club,"Solway Primary School, Ashburton VIC 3147",1,1
South East Warriors Basketball Club,"Brighton Secondary College, Brighton East VIC 3187",85,3
Oakleigh Raptors Basketball Club,"Lighthouse Christian College, Keysborough VIC 3173",1,1
Saints Basketball Club (McKinnon),"Elwood Primary School, Elwood VIC 3184",14,2
Independent,"The King David School, Armadale VIC 3143",17,2
Ormond Jets Basketball Club,"Sholem Aleichem College, Elsternwick VIC 3185",2,1
Independent,"Mount Scopus Memorial College - Fink Karp Ivany Campus, Caulfield South VIC 3162",5,1
Ormond Jets Basketball Club,"Mentone Primary School, Mentone VIC 3194",3,1
St Kilda Warriors Basketball Club,"North Melbourne Primary School, North Melbourne VIC 3051",1,1
Bentleigh Lakers Basketball Club,"Xavier College - Kostka Hall, Brighton VIC 3186",1,1
Bentleigh Lakers Basketball Club,"Haileybury College - Keysborough Boys, Keysborough VIC 3173",23,2
Maccabi Victoria Basketball Club,"The King David School, Armadale VIC 3143",17,2
Carnegie Basketball Club,"Sholem Aleichem College, Elsternwick VIC 3185",2,1
Bentleigh Lakers Basketball Club,"Our Lady of the Assumption School, Cheltenham VIC 3192",1,1
Brighton Wolves Basketball Club,"Black Rock Primary School, Black Rock VIC 3193",4,2
ABA Wolverines Basketball Club,"Brighton Primary School, Brighton VIC 3186",101,2
Oakleigh Raptors Basketball Club,"Mentone Grammar School, Mentone VIC 3194",41,1
Ormond Jets Basketball Club,"Melbourne Montessori College - Brighton East Campus, Brighton East VIC 3187",12,1
ABA Wolverines Basketball Club,"Gardenvale Primary School, Brighton East VIC 3187",187,6
Carnegie Basketball Club,"Sacred Heart Girls' College, Oakleigh VIC 3166",19,1
Bentleigh Lakers Basketball Club,"Brighton Beach Primary School, Brighton VIC 3186",49,3
Oakleigh Raptors Basketball Club,"Good Shepherd School, Wheelers Hill VIC 3150",1,1
South East Warriors Basketball Club,"Star of the Sea College, Brighton VIC 3186",96,3
Independent,"St Joseph's School, Malvern VIC 3144",2,1
South East Warriors Basketball Club,"St Peter's School, Bentleigh East VIC 3165",167,1
East Brighton Vampires Basketball Club,"St Bede's College, Mentone VIC 3194",36,2
Maccabi Victoria Basketball Club,"The King David School - The Rebecca Magid Centre, Armadale VIC 3143",26,4
Oakleigh Raptors Basketball Club,"Kingston Heath Primary School, Cheltenham VIC 3192",1,1
East Brighton Vampires Basketball Club,"De La Salle College, Malvern VIC 3144",54,4
Bentleigh Lakers Basketball Club,"Mount Eliza Primary School, Mount Eliza VIC 3930",1,1
Oakleigh Raptors Basketball Club,"Dingley Primary School, Dingley Village VIC 3172",4,1
St Kilda Warriors Basketball Club,"South Melbourne Primary School, Southbank VIC 3205",5,5
Ormond Jets Basketball Club,"Not Applicable,   ",22,3
Moorabbin Magic Basketball Club,"Beaumaris Primary School, Beaumaris VIC 3193",8,1
Ormond Jets Basketball Club,"Beaumaris Primary School, Beaumaris VIC 3193",8,1
Ormond Jets Basketball Club,"Rowville Secondary College-Eastern Campus, Rowville VIC 3178",2,1
Carnegie Basketball Club,"Rowville Secondary College-Eastern Campus, Rowville VIC 3178",2,1
Bentleigh Lakers Basketball Club,"Melbourne Grammar School - Wadhurst Campus, Melbourne VIC 3004",6,1
Ormond Jets Basketball Club,"Balwyn High School, Balwyn North VIC 3104",1,1
Ormond Jets Basketball Club,"Salesian College Chadstone, Chadstone VIC 3148",63,4
ABA Wolverines Basketball Club,"Mckinnon Primary School, Ormond VIC 3204",105,2
Ormond Jets Basketball Club,"St Kilda Primary School, St Kilda VIC 3182",26,1
Bentleigh Lakers Basketball Club,"The King David School - The Rebecca Magid Centre, Armadale VIC 3143",26,1
Ormond Jets Basketball Club,"St Agnes' School, Highett VIC 3190",2,1
Ormond Jets Basketball Club,"Sandringham College, Sandringham VIC 3191",15,3
ABA Wolverines Basketball Club,"St Patrick's School, Mentone VIC 3194",10,1
Bentleigh Lakers Basketball Club,"Hampton Primary School, Hampton VIC 3188",47,2
ABA Wolverines Basketball Club,"Haileybury College - Keysborough Boys, Keysborough VIC 3173",23,1
South East Warriors Basketball Club,"Firbank Grammar School, Brighton VIC 3186",32,2
Ormond Jets Basketball Club,"Tucker Road Bentleigh Primary School, Bentleigh VIC 3204",105,3
Ormond Jets Basketball Club,"Mentone Girls' Grammar School, Mentone VIC 3194",3,1
East Brighton Vampires Basketball Club,"Melbourne High School, South Yarra VIC 3141",7,1
ABA Wolverines Basketball Club,"Ormond Primary School, Ormond VIC 3204",37,1
Carnegie Basketball Club,"Ormond Primary School, Ormond VIC 3204",37,1
Ormond Jets Basketball Club,"Rossbourne School, Hawthorn VIC 3122",1,1
South East Warriors Basketball Club,"Oakleigh South Primary School, Oakleigh South VIC 3167",134,2
Brighton Wolves Basketball Club,"Kilvington Grammar School, Ormond VIC 3204",115,1
Oakleigh Raptors Basketball Club,"Haileybury College - Keysborough Boys, Keysborough VIC 3173",23,1
South East Warriors Basketball Club,"Wesley College, Melbourne VIC 3004",16,1
St Kilda Warriors Basketball Club,"Ripponlea Primary School, St Kilda East VIC 3183",25,1
Oakleigh Raptors Basketball Club,"St Leonard's College, Brighton East VIC 3187",98,3
Bentleigh Lakers Basketball Club,"Tombolo Academy, Hampton VIC 3188",2,1
St Kilda Warriors Basketball Club,"Melbourne Grammar School, Melbourne VIC 3004",6,1
Oakleigh Raptors Basketball Club,"Brighton Grammar School, Brighton VIC 3186",236,1
St Kilda Warriors Basketball Club,"Haileybury College - Brighton Girls, Brighton VIC 3186",51,1
South East Warriors Basketball Club,"Edithvale Primary School, Edithvale VIC 3196",3,1
Saints Basketball Club (McKinnon),"Oakleigh South Primary School, Oakleigh South VIC 3167",134,1
Oakleigh Raptors Basketball Club,"Kingswood Primary School, Dingley Village VIC 3172",1,1
ABA Wolverines Basketball Club,"Melbourne Grammar School - Grimwade Campus, Caulfield North VIC 3161",8,2
Oakleigh Raptors Basketball Club,"De La Salle College - Kinnoull Campus, Malvern VIC 3144",24,1
Oakleigh Raptors Basketball Club,"McKinnon Secondary College - East Campus, Bentleigh East VIC 3165",260,2
South East Warriors Basketball Club,"St Joseph's School, Elsternwick VIC 3185",80,4
South East Warriors Basketball Club,"Cheltenham Primary School, Cheltenham VIC 3192",2,1
Saints Basketball Club (McKinnon),"Ashwood High School, Ashwood VIC 3147",13,1
Saints Basketball Club (McKinnon),"Glen Eira College, Caulfield East VIC 3145",74,1
East Brighton Vampires Basketball Club,"Sacre Coeur, Glen Iris VIC 3146",9,1
Moorabbin Magic Basketball Club,"Tombolo Academy, Hampton VIC 3188",2,1
Oakleigh Raptors Basketball Club,"St Joseph's School, Malvern VIC 3144",2,1
Brighton Wolves Basketball Club,"Elwood Primary School, Elwood VIC 3184",14,1
Carnegie Basketball Club,"Malvern Central School, Malvern VIC 3144",1,1
Bentleigh Lakers Basketball Club,"Caulfield Junior College, Caulfield North VIC 3161",41,2
Oakleigh Raptors Basketball Club,"East Bentleigh Primary School, Bentleigh East VIC 3165",19,3
Bentleigh Lakers Basketball Club,"Caulfield South Primary School, Caulfield South VIC 3162",114,9
Bayside Warriors Basketball Club Inc,"St Michael's Grammar School, St Kilda VIC 3182",33,3
Brighton Wolves Basketball Club,"Prahran High School, Windsor VIC 3181",6,1
South East Warriors Basketball Club,"Salesian College Chadstone, Chadstone VIC 3148",63,2
Saints Basketball Club (McKinnon),"Kilbreda College, Mentone VIC 3194",12,2
Moorabbin Magic Basketball Club,"Mentone Grammar School, Mentone VIC 3194",41,4
Carnegie Basketball Club,"Caulfield South Primary School, Caulfield South VIC 3162",114,1
Bentleigh Lakers Basketball Club,"Sacred Heart School, Oakleigh VIC 3166",42,1
Ormond Jets Basketball Club,"St Roch's School, Glen Iris VIC 3146",1,1
Ormond Jets Basketball Club,"Mount Waverley Heights Primary School, Mount Waverley VIC 3149",9,1
South East Warriors Basketball Club,"Albert Park College, Albert Park VIC 3206",9,2
Bentleigh Lakers Basketball Club,"MacRobertson Girls High School, Melbourne VIC 3004",4,2
Moorabbin Magic Basketball Club,"Cornish College, Bangholme VIC 3175",4,2
Brighton Wolves Basketball Club,"Sandringham Primary School, Sandringham VIC 3191",3,1
Bentleigh Lakers Basketball Club,"St Mary's School, Malvern East VIC 3145",1,1
East Brighton Vampires Basketball Club,"Melbourne Girls Grammar, South Yarra VIC 3141",5,1
Independent,"Melbourne Girls Grammar, South Yarra VIC 3141",5,1
Oakleigh Raptors Basketball Club,"Sacre Coeur, Glen Iris VIC 3146",9,1
East Brighton Vampires Basketball Club,"St Bede's College - Bentleigh East Campus, Bentleigh East VIC 3165",72,1
Bentleigh Lakers Basketball Club,"Nazareth College, Waverley Gardens VIC 3174",1,1
Saints Basketball Club (McKinnon),"Cornish College, Bangholme VIC 3175",4,2
Brighton Wolves Basketball Club,"De La Salle College, Malvern VIC 3144",54,4
Moorabbin Magic Basketball Club,"Parkdale Primary School, Parkdale VIC 3195",3,1
South East Warriors Basketball Club,"Glen Huntly Primary School, Glen Huntly VIC 3163",20,2
Independent,"St Kevin's College - Waterford, Richmond VIC 3121",7,1
Ormond Jets Basketball Club,"Sacred Heart Girls' College, Oakleigh VIC 3166",19,1
Ormond Jets Basketball Club,"Oakleigh Grammar, Oakleigh VIC 3166",29,2
Bentleigh Lakers Basketball Club,"Melbourne High School, South Yarra VIC 3141",7,3
Oakleigh Raptors Basketball Club,"Emmaus College - Burwood Campus, Burwood VIC 3125",1,1
South East Warriors Basketball Club,"St Patrick's School, Mentone VIC 3194",10,1
Saints Basketball Club (McKinnon),"Caulfield Grammar School - Malvern Campus, Glen Iris VIC 3146",13,2
St Kilda Warriors Basketball Club,"St Mary's School, St Kilda East VIC 3183",9,6
Brighton Wolves Basketball Club,"Caulfield Grammar School - Malvern Campus, Glen Iris VIC 3146",13,2
Oakleigh Raptors Basketball Club,"Caulfield Grammar School - Wheelers Hill Campus, Wheelers Hill VIC 3150",1,1
Ormond Jets Basketball Club,"Xavier College, Kew VIC 3101",4,1
Oakleigh Raptors Basketball Club,"Camberwell High School, Canterbury VIC 3126",1,1
Brighton Wolves Basketball Club,"Sacred Heart Girls' College, Oakleigh VIC 3166",19,1
Carnegie Basketball Club,"Mount Waverley Heights Primary School, Mount Waverley VIC 3149",9,1
Moorabbin Magic Basketball Club,"Dingley Primary School, Dingley Village VIC 3172",4,1
Oakleigh Raptors Basketball Club,"St Patrick's School, Mentone VIC 3194",10,1
Brighton Wolves Basketball Club,"St Joan of Arc Catholic Primary School, Haberfield NSW 2045",1,1
Ormond Jets Basketball Club,"Beaumaris Secondary College, Beaumaris VIC 3193",4,1
South East Warriors Basketball Club,"Our Lady of the Sacred Heart College, Bentleigh VIC 3204",66,1
Oakleigh Raptors Basketball Club,"Haileybury College - Pangea, Keysborough VIC 3173",1,1
Carnegie Basketball Club,"Malvern Primary School, Malvern East VIC 3145",8,1
Ormond Jets Basketball Club,"Elwood Primary School, Elwood VIC 3184",14,7
Oakleigh Raptors Basketball Club,"Brentwood Secondary College, Glen Waverley VIC 3150",2,1
Bentleigh Lakers Basketball Club,"Ashwood High School, Ashwood VIC 3147",13,2
Oakleigh Raptors Basketball Club,"Mount Waverley Secondary College-Junior Campus, Mount Waverley VIC 3149",1,1
St Kilda Warriors Basketball Club,"Melbourne Girls Grammar - Morris Hall Campus, South Yarra VIC 3141",1,1
Independent,"Camberwell Girls Grammar School, Canterbury VIC 3126",3,3
South East Warriors Basketball Club,"Gardenvale Primary School, Brighton East VIC 3187",187,2
Independent,"Parkdale Secondary College, Mordialloc VIC 3195",6,1
Ormond Jets Basketball Club,"Prahran High School, Windsor VIC 3181",6,1
South East Warriors Basketball Club,"Cheltenham East Primary School, Cheltenham VIC 3192",5,1
Independent,"Pinewood Primary School, Mount Waverley VIC 3149",3,1
Carnegie Basketball Club,"Elwood College, Elwood VIC 3184",37,1
Ormond Jets Basketball Club,"St Kevin's College - Glendalough, Toorak VIC 3142",14,1
Moorabbin Tigers Basketball Club,N/A,2176,3
Carnegie Basketball Club,"St Finbar's School, Brighton East VIC 3187",159,1
Saints Basketball Club (McKinnon),"St Kilda Park Primary School, St Kilda VIC 3182",6,1
Moorabbin Magic Basketball Club,"Scotch College, Hawthorn VIC 3122",12,2
Saints Basketball Club (McKinnon),"Caulfield Grammar School, St Kilda East VIC 3183",99,1
Saints Basketball Club (McKinnon),"Beaumaris North Primary School, Beaumaris VIC 3193",3,1
Independent,"Melbourne Girls College, Richmond VIC 3121",1,1
Ormond Jets Basketball Club,"Carey Baptist Grammar School, Kew VIC 3101",1,1
Saints Basketball Club (McKinnon),"East Bentleigh Primary School, Bentleigh East VIC 3165",19,2
Saints Basketball Club (McKinnon),"South Oakleigh College, Oakleigh South VIC 3167",61,1
Bayside Warriors Basketball Club Inc,"St James' School, Brighton VIC 3186",20,2
Independent,"Haileybury College - Keysborough Boys, Keysborough VIC 3173",23,1
Carnegie Basketball Club,"Mckinnon Primary School, Ormond VIC 3204",105,4
Carnegie Basketball Club,"Wesley College, Melbourne VIC 3004",16,1
Brighton Wolves Basketball Club,"Carnegie Primary School, Carnegie VIC 3163",160,1
Moorabbin Magic Basketball Club,"Brighton Grammar School, Brighton VIC 3186",236,2
Ormond Jets Basketball Club,"Mount Scopus Memorial College - Gandel Besen House Campus, St Kilda East VIC 3183",8,1
Bentleigh Lakers Basketball Club,"Wesley College - Elsternwick Campus, Elsternwick VIC 3185",47,2
Piranhas Basketball,N/A,2176,1
Oakleigh Raptors Basketball Club,"St Andrews Primary School, St Andrews VIC 3761",1,1
St Kilda Warriors Basketball Club,"South Melbourne Park Primary School, Albert Park VIC 3206",2,1
Brighton Wolves Basketball Club,"Xavier College, Kew VIC 3101",4,2
Bentleigh Lakers Basketball Club,"Brighton Primary School-Brighton Primary School Deaf Facility, Brighton VIC 3186",6,1
Brighton Wolves Basketball Club,"Cheltenham Secondary College, Cheltenham VIC 3192",33,1
Oakleigh Raptors Basketball Club,"Christway College, Clarinda VIC 3169",3,2
Bentleigh Lakers Basketball Club,"Christway College, Clarinda VIC 3169",3,1
Brighton Wolves Basketball Club,"St Mary's School - Campus 2, St Kilda East VIC 3183",5,2
Saints Basketball Club (McKinnon),"MacRobertson Girls High School, Melbourne VIC 3004",4,2
Moorabbin Tigers Basketball Club,"Cheltenham Primary School, Cheltenham VIC 3192",2,1
Maccabi Victoria Basketball Club,"Caulfield Junior College, Caulfield North VIC 3161",41,1
East Brighton Vampires Basketball Club,"Brighton Beach Primary School, Brighton VIC 3186",49,1
Brighton Wolves Basketball Club,"Edithvale Primary School, Edithvale VIC 3196",3,2
Ormond Jets Basketball Club,"Huntingdale Primary School, Oakleigh South VIC 3167",8,2
Independent,"Kilbreda College, Mentone VIC 3194",12,1
Brighton Wolves Basketball Club,"Le Page Primary School, Cheltenham VIC 3192",12,1
Moorabbin Magic Basketball Club,"Black Rock Primary School, Black Rock VIC 3193",4,1
Moorabbin Magic Basketball Club,"Beaumaris Secondary College, Beaumaris VIC 3193",4,1
East Brighton Vampires Basketball Club,"St Joan of Arc School, Brighton VIC 3186",123,1
Ormond Jets Basketball Club,"Garah Public School, Garah NSW 2405",1,1
South East Warriors Basketball Club,"Brighton Primary School, Brighton VIC 3186",101,1
East Brighton Vampires Basketball Club,"St Kevin's College - Glendalough, Toorak VIC 3142",14,1
Moorabbin Magic Basketball Club,"Brentwood Secondary College, Glen Waverley VIC 3150",2,1
South East Warriors Basketball Club,"Parkdale Primary School, Parkdale VIC 3195",3,2
East Brighton Vampires Basketball Club,"De La Salle College - Kinnoull Campus, Malvern VIC 3144",24,3
Oakleigh Raptors Basketball Club,"St Mark's School, Dingley Village VIC 3172",2,2
ABA Wolverines Basketball Club,"Le Page Primary School, Cheltenham VIC 3192",12,3
Ormond Jets Basketball Club,"Melbourne Girls Grammar, South Yarra VIC 3141",5,1
ABA Wolverines Basketball Club,"Black Rock Primary School, Black Rock VIC 3193",4,1
Saints Basketball Club (McKinnon),"Southmoor Primary School, Moorabbin VIC 3189",55,1
Piranhas Basketball,"Bentleigh Secondary College, Bentleigh East VIC 3165",160,1
Brighton Wolves Basketball Club,"Melbourne Girls Grammar, South Yarra VIC 3141",5,2
Oakleigh Raptors Basketball Club,"Ashwood School, Ashwood VIC 3147",2,1
Bentleigh Lakers Basketball Club,"Canterbury Primary School, Canterbury VIC 3126",2,2
Brighton Wolves Basketball Club,"Wesley College - St Kilda Road Junior Campus, Windsor VIC 3181",16,1
ABA Wolverines Basketball Club,"Cheltenham East Primary School, Cheltenham VIC 3192",5,1
South East Warriors Basketball Club,"Sandringham College-Bluff Road 7-9 Campus, Sandringham VIC 3191",4,1
Piranhas Basketball,"St Kevin's College, Toorak VIC 3142",42,2
Independent,"Scotch College, Hawthorn VIC 3122",12,3
Oakleigh Raptors Basketball Club,"Glen Iris Primary School, Glen Iris VIC 3146",3,2
South East Warriors Basketball Club,"De La Salle College - Holy Eucharist Campus, Malvern East VIC 3145",35,2
Ormond Jets Basketball Club,"Firbank Grammar School, Brighton VIC 3186",32,2
South East Warriors Basketball Club,"Wesley College - St Kilda Road Junior Campus, Windsor VIC 3181",16,3
Oakleigh Raptors Basketball Club,"Clayton South Primary School, Clayton South VIC 3169",1,1
Moorabbin Magic Basketball Club,"St Peter's School, Bentleigh East VIC 3165",167,2
Carnegie Basketball Club,"The King David School, Armadale VIC 3143",17,1
ABA Wolverines Basketball Club,"St Bede's College - Bentleigh East Campus, Bentleigh East VIC 3165",72,1
Brighton Wolves Basketball Club,"Firbank Grammar School - Sandringham Campus, Sandringham VIC 3191",3,1
Bentleigh Lakers Basketball Club,"Mentone Girls Secondary College, Mentone VIC 3194",11,2
Oakleigh Raptors Basketball Club,"Southmoor Primary School, Moorabbin VIC 3189",55,2
Saints Basketball Club (McKinnon),"Cheltenham Secondary College, Cheltenham VIC 3192",33,1
Independent,"St Kevin's College - Glendalough, Toorak VIC 3142",14,1
Oakleigh Raptors Basketball Club,"Wellington Secondary College, Mulgrave VIC 3170",1,1
ABA Wolverines Basketball Club,"Southmoor Primary School, Moorabbin VIC 3189",55,3
Independent,"Coatesville Primary School, Bentleigh East VIC 3165",189,1
ABA Wolverines Basketball Club,"Firbank Grammar School - Sandringham Campus, Sandringham VIC 3191",3,1
Moorabbin Magic Basketball Club,"Hampton Primary School, Hampton VIC 3188",47,1
East Brighton Vampires Basketball Club,"Firbank Grammar School - Sandringham Campus, Sandringham VIC 3191",3,1
Bayside Warriors Basketball Club Inc,"Haileybury College - Brighton Girls, Brighton VIC 3186",51,1
South East Warriors Basketball Club,"Glen Eira College, Caulfield East VIC 3145",74,1
Moorabbin Magic Basketball Club,"East Bentleigh Primary School, Bentleigh East VIC 3165",19,1
Brighton Wolves Basketball Club,"Valkstone Primary School, Bentleigh East VIC 3165",139,2
Oakleigh Raptors Basketball Club,"Camberwell Girls Grammar School - Junior Campus, Canterbury VIC 3126",1,1
Ormond Jets Basketball Club,"Wesley College - Glen Waverley Campus, Glen Waverley VIC 3150",1,1
Independent,"Lauriston Girls' School, Armadale VIC 3143",2,1
Bentleigh Lakers Basketball Club,"Mount Scopus Memorial College, Burwood VIC 3125",122,1
South East Warriors Basketball Club,"East Bentleigh Primary School, Bentleigh East VIC 3165",19,1
Bentleigh Lakers Basketball Club,"Sandringham College-Bluff Road 7-9 Campus, Sandringham VIC 3191",4,1
ABA Wolverines Basketball Club,"Sacred Heart School, Oakleigh VIC 3166",42,1
ABA Wolverines Basketball Club,"St Kevin's College - Glendalough, Toorak VIC 3142",14,1
Oakleigh Raptors Basketball Club,"St Bede's College, Mentone VIC 3194",36,1
Bentleigh Lakers Basketball Club,"Westall Secondary College, Clayton South VIC 3169",5,1
Moorabbin Magic Basketball Club,"Mentone Girls Secondary College, Mentone VIC 3194",11,1
Moorabbin Magic Basketball Club,"Mckinnon Primary School, Ormond VIC 3204",105,3
South East Warriors Basketball Club,"Carnegie Primary School, Carnegie VIC 3163",160,1
South East Warriors Basketball Club,"St Catherine's School, Moorabbin VIC 3189",20,1
Ormond Jets Basketball Club,"Scotch College, Hawthorn VIC 3122",12,1
Bentleigh Lakers Basketball Club,"Beaumaris North Primary School, Beaumaris VIC 3193",3,2
Oakleigh Raptors Basketball Club,"Emmaus College - Junior School, Vermont South VIC 3133",1,1
Ormond Jets Basketball Club,"St Michael's School, Ashburton VIC 3147",1,1
Carnegie Basketball Club,"Moorabbin Primary School, Moorabbin VIC 3189",29,1
Ormond Jets Basketball Club,"Cheltenham Secondary College, Cheltenham VIC 3192",33,2
Ormond Jets Basketball Club,"Oakleigh Primary School, Oakleigh VIC 3166",18,1
Ormond Jets Basketball Club,"Ashwood School, Ashwood VIC 3147",2,1
Brighton Wolves Basketball Club,"Mentone Primary School, Mentone VIC 3194",3,1
Moorabbin Magic Basketball Club,"Glen Huntly Primary School, Glen Huntly VIC 3163",20,1
Saints Basketball Club (McKinnon),"Elisabeth Murdoch College, Langwarrin VIC 3910",1,1
St Kilda Warriors Basketball Club,"MacKillop Specialist School - MacKillop Education Caulfield, Caulfield North VIC 3161",1,1
Carnegie Basketball Club,"Loreto Mandeville Hall, Toorak VIC 3142",9,1
Carnegie Basketball Club,"Galilee Regional Catholic Primary School, South Melbourne VIC 3205",10,1
Carnegie Basketball Club,"Glen Iris Primary School, Glen Iris VIC 3146",3,1
Moorabbin Magic Basketball Club,"Sacre Coeur, Glen Iris VIC 3146",9,1
St Kilda Warriors Basketball Club,"Galilee Catholic Primary School, Bondi Beach NSW 2026",1,1
St Kilda Warriors Basketball Club,"Caulfield Grammar School - Malvern Campus, Glen Iris VIC 3146",13,1
Bentleigh Lakers Basketball Club,"Not Applicable,   ",22,1
Bentleigh Lakers Basketball Club,"Melbourne Montessori College - Caulfield South Campus, Caulfield South VIC 3162",7,1
Ormond Jets Basketball Club,"Hampton Primary School, Hampton VIC 3188",47,1
ABA Wolverines Basketball Club,"Mentone Grammar School, Mentone VIC 3194",41,3
Bentleigh Lakers Basketball Club,"Noble Park English Language School-Stonnington Glen Eira Campus, Glen Huntly VIC 3163",1,1
Oakleigh Raptors Basketball Club,"Valkstone Primary School, Bentleigh East VIC 3165",139,2
Independent,"Beaumaris Secondary College, Beaumaris VIC 3193",4,1
Bentleigh Lakers Basketball Club,"Caulfield Primary School, Caulfield South VIC 3162",24,1
Moorabbin Tigers Basketball Club,"St Joseph's School, Elsternwick VIC 3185",80,1
Brighton Wolves Basketball Club,"Trinity College Colac, Colac VIC 3250",1,1
Carnegie Basketball Club,"St Peter's School, Bentleigh East VIC 3165",167,1
Independent,"Albert Park College, Albert Park VIC 3206",9,1
Moorabbin Magic Basketball Club,"De La Salle College, Malvern VIC 3144",54,1
St Kilda Warriors Basketball Club,"Geelong Grammar School - Toorak campus, Toorak VIC 3142",1,1
Moorabbin Magic Basketball Club,"Caulfield Grammar School - Malvern Campus, Glen Iris VIC 3146",13,2
Oakleigh Raptors Basketball Club,"Waverley Christian College - Narre Warren South Campus, Narre Warren South VIC 3805",2,2
Ormond Jets Basketball Club,"Virtual School Victoria, Thornbury VIC 3071",2,2
Saints Basketball Club (McKinnon),"Elwood College, Elwood VIC 3184",37,1
Carnegie Basketball Club,"Ashwood High School, Ashwood VIC 3147",13,1
Bayside Warriors Basketball Club Inc,"Star of the Sea College, Brighton VIC 3186",96,1
Bentleigh Lakers Basketball Club,"Mentone Primary School, Mentone VIC 3194",3,1
Bentleigh Lakers Basketball Club,"Trinity Grammar School Kew, Kew VIC 3101",1,1
Ormond Jets Basketball Club,"St Paul's School, Bentleigh VIC 3204",157,1